Plataforma,Fecha,Hora,Nombre,Marca,Precio
MercadoLibre,18/2/2025,1:24:58 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,18/2/2025,12:40:05 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,19/2/2025,1:25:23 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,19/2/2025,12:39:23 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,20/2/2025,1:25:19 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,20/2/2025,12:41:30 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,21/2/2025,1:26:19 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,21/2/2025,12:41:19 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,22/2/2025,1:23:54 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,22/2/2025,12:37:27 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,23/2/2025,1:30:47 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,23/2/2025,12:38:01 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,24/2/2025,1:28:10 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,24/2/2025,12:42:31 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,25/2/2025,1:26:43 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,25/2/2025,12:42:00 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,26/2/2025,1:26:43 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,26/2/2025,12:42:36 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,27/2/2025,1:27:29 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,27/2/2025,12:41:55 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,28/2/2025,1:27:35 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,28/2/2025,12:41:28 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,1/3/2025,1:32:07 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,1/3/2025,12:39:26 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,2/3/2025,1:31:21 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,2/3/2025,12:38:18 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,3/3/2025,1:29:53 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,3/3/2025,12:42:44 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,4/3/2025,1:28:22 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,4/3/2025,12:42:17 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,5/3/2025,1:27:59 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,5/3/2025,12:42:26 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,6/3/2025,1:29:00 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,6/3/2025,12:42:56 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,7/3/2025,1:29:18 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,7/3/2025,12:41:35 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,8/3/2025,1:13:04 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,8/3/2025,12:32:58 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,9/3/2025,1:18:22 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,9/3/2025,12:32:43 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,10/3/2025,1:16:18 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,10/3/2025,12:43:25 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,11/3/2025,1:29:29 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,11/3/2025,12:43:38 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,12/3/2025,1:28:32 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,12/3/2025,12:42:43 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,13/3/2025,1:29:40 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,13/3/2025,12:43:36 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,14/3/2025,1:28:21 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1457.19
MercadoLibre,14/3/2025,12:41:34 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,15/3/2025,1:27:28 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,15/3/2025,12:38:48 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,16/3/2025,1:34:54 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,16/3/2025,12:39:19 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,17/3/2025,1:31:41 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,17/3/2025,12:43:52 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,18/3/2025,1:29:29 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,18/3/2025,12:43:34 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,19/3/2025,1:29:57 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,19/3/2025,12:43:32 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,20/3/2025,1:29:19 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,20/3/2025,12:42:07 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,21/3/2025,1:30:16 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,21/3/2025,12:42:31 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,22/3/2025,1:28:38 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,22/3/2025,12:39:32 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,23/3/2025,1:42:28 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,23/3/2025,12:39:46 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,24/3/2025,1:32:07 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,24/3/2025,12:44:19 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,25/3/2025,1:31:30 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,25/3/2025,12:43:39 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,26/3/2025,1:30:30 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,26/3/2025,12:43:52 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,27/3/2025,1:30:36 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,27/3/2025,12:44:21 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,28/3/2025,1:30:06 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,28/3/2025,12:43:04 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,29/3/2025,1:30:06 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,29/3/2025,12:40:57 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,30/3/2025,1:44:23 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,30/3/2025,12:40:32 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,31/3/2025,1:34:58 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,31/3/2025,12:44:23 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,1/4/2025,1:48:53 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,1/4/2025,12:45:11 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,2/4/2025,1:32:31 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,2/4/2025,12:45:22 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,3/4/2025,1:30:56 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,3/4/2025,12:44:00 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,4/4/2025,1:30:50 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,4/4/2025,12:43:34 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,5/4/2025,1:29:48 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,5/4/2025,12:40:02 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,6/4/2025,1:43:37 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,6/4/2025,12:40:19 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,7/4/2025,1:33:36 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,7/4/2025,12:45:21 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,8/4/2025,1:31:18 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,8/4/2025,12:44:43 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,9/4/2025,1:31:56 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,9/4/2025,12:44:59 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,10/4/2025,1:31:32 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,10/4/2025,12:44:40 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,11/4/2025,1:32:53 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,11/4/2025,12:44:05 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,12/4/2025,1:30:08 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,12/4/2025,12:40:06 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,13/4/2025,2:59:30 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
